Country,date,type,value
Australia,14/05/2020,Daily hospital occupancy per million,1.757
Australia,15/05/2020,Daily ICU occupancy,16
Australia,15/05/2020,Daily ICU occupancy per million,0.611
Australia,15/05/2020,Daily hospital occupancy,49
Australia,15/05/2020,Daily hospital occupancy per million,1.872
Australia,16/05/2020,Daily ICU occupancy,16
Australia,16/05/2020,Daily ICU occupancy per million,0.611
Australia,16/05/2020,Daily hospital occupancy,50
Australia,16/05/2020,Daily hospital occupancy per million,1.91
Australia,17/05/2020,Daily ICU occupancy,12
Australia,17/05/2020,Daily ICU occupancy per million,0.458
Australia,17/05/2020,Daily hospital occupancy,45
Australia,17/05/2020,Daily hospital occupancy per million,1.719
Australia,18/05/2020,Daily ICU occupancy,11
Australia,18/05/2020,Daily ICU occupancy per million,0.42
Australia,18/05/2020,Daily hospital occupancy,47
Australia,18/05/2020,Daily hospital occupancy per million,1.795
Australia,19/05/2020,Daily ICU occupancy,9
Australia,19/05/2020,Daily ICU occupancy per million,0.344
Australia,19/05/2020,Daily hospital occupancy,43
Australia,19/05/2020,Daily hospital occupancy per million,1.643
Australia,20/05/2020,Daily ICU occupancy,9
Australia,20/05/2020,Daily ICU occupancy per million,0.344
Australia,20/05/2020,Daily hospital occupancy,41
Australia,20/05/2020,Daily hospital occupancy per million,1.566
Australia,21/05/2020,Daily ICU occupancy,7
Australia,21/05/2020,Daily ICU occupancy per million,0.267
Australia,21/05/2020,Daily hospital occupancy,39
Australia,21/05/2020,Daily hospital occupancy per million,1.49
Australia,22/05/2020,Daily ICU occupancy,5
Australia,22/05/2020,Daily ICU occupancy per million,0.191
Australia,22/05/2020,Daily hospital occupancy,35
Australia,22/05/2020,Daily hospital occupancy per million,1.337
Australia,23/05/2020,Daily ICU occupancy,5
Australia,23/05/2020,Daily ICU occupancy per million,0.191
Australia,23/05/2020,Daily hospital occupancy,33
Australia,23/05/2020,Daily hospital occupancy per million,1.261
Australia,24/05/2020,Daily ICU occupancy,5
Australia,24/05/2020,Daily ICU occupancy per million,0.191
Australia,24/05/2020,Daily hospital occupancy,31
Australia,24/05/2020,Daily hospital occupancy per million,1.184
Australia,25/05/2020,Daily ICU occupancy,5
Australia,25/05/2020,Daily ICU occupancy per million,0.191
Australia,25/05/2020,Daily hospital occupancy,30
Australia,25/05/2020,Daily hospital occupancy per million,1.146
Australia,26/05/2020,Daily ICU occupancy,6
Australia,26/05/2020,Daily ICU occupancy per million,0.229
Australia,26/05/2020,Daily hospital occupancy,30
Australia,26/05/2020,Daily hospital occupancy per million,1.146
Australia,27/05/2020,Daily ICU occupancy,5
Australia,27/05/2020,Daily ICU occupancy per million,0.191
Australia,27/05/2020,Daily hospital occupancy,29
Australia,27/05/2020,Daily hospital occupancy per million,1.108
Australia,28/05/2020,Daily ICU occupancy,4
Australia,28/05/2020,Daily ICU occupancy per million,0.153
Australia,28/05/2020,Daily hospital occupancy,23
Australia,28/05/2020,Daily hospital occupancy per million,0.879
Australia,29/05/2020,Daily ICU occupancy,4
Australia,29/05/2020,Daily ICU occupancy per million,0.153
Australia,29/05/2020,Daily hospital occupancy,22
Australia,29/05/2020,Daily hospital occupancy per million,0.84
Australia,30/05/2020,Daily ICU occupancy,4
Australia,30/05/2020,Daily ICU occupancy per million,0.153
Australia,30/05/2020,Daily hospital occupancy,20
Australia,30/05/2020,Daily hospital occupancy per million,0.764
Australia,31/05/2020,Daily ICU occupancy,3
Australia,31/05/2020,Daily ICU occupancy per million,0.115
Australia,31/05/2020,Daily hospital occupancy,20
Australia,31/05/2020,Daily hospital occupancy per million,0.764
Australia,1/06/2020,Daily ICU occupancy,4
Australia,1/06/2020,Daily ICU occupancy per million,0.153
Australia,1/06/2020,Daily hospital occupancy,26
Australia,1/06/2020,Daily hospital occupancy per million,0.993
Australia,2/06/2020,Daily ICU occupancy,5
Australia,2/06/2020,Daily ICU occupancy per million,0.191
Australia,2/06/2020,Daily hospital occupancy,25
Australia,2/06/2020,Daily hospital occupancy per million,0.955
Australia,3/06/2020,Daily ICU occupancy,4
Australia,3/06/2020,Daily ICU occupancy per million,0.153
Australia,3/06/2020,Daily hospital occupancy,22
Australia,3/06/2020,Daily hospital occupancy per million,0.84
Australia,4/06/2020,Daily ICU occupancy,2
Australia,4/06/2020,Daily ICU occupancy per million,0.076
Australia,4/06/2020,Daily hospital occupancy,21
Australia,4/06/2020,Daily hospital occupancy per million,0.802
Australia,5/06/2020,Daily ICU occupancy,4
Australia,5/06/2020,Daily ICU occupancy per million,0.153
Australia,5/06/2020,Daily hospital occupancy,21
Australia,5/06/2020,Daily hospital occupancy per million,0.802
Australia,6/06/2020,Daily ICU occupancy,3
Australia,6/06/2020,Daily ICU occupancy per million,0.115
Australia,6/06/2020,Daily hospital occupancy,18
Australia,6/06/2020,Daily hospital occupancy per million,0.688
Australia,7/06/2020,Daily ICU occupancy,3
Australia,7/06/2020,Daily ICU occupancy per million,0.115
Australia,7/06/2020,Daily hospital occupancy,19
Australia,7/06/2020,Daily hospital occupancy per million,0.726
Australia,8/06/2020,Daily ICU occupancy,2
Australia,8/06/2020,Daily ICU occupancy per million,0.076
Australia,8/06/2020,Daily hospital occupancy,18
Australia,8/06/2020,Daily hospital occupancy per million,0.688
Australia,9/06/2020,Daily ICU occupancy,3
Australia,9/06/2020,Daily ICU occupancy per million,0.115
Australia,9/06/2020,Daily hospital occupancy,20
Australia,9/06/2020,Daily hospital occupancy per million,0.764
Australia,10/06/2020,Daily ICU occupancy,2
Australia,10/06/2020,Daily ICU occupancy per million,0.076
Australia,10/06/2020,Daily hospital occupancy,18
Australia,10/06/2020,Daily hospital occupancy per million,0.688
Australia,11/06/2020,Daily ICU occupancy,2
Australia,11/06/2020,Daily ICU occupancy per million,0.076
Australia,11/06/2020,Daily hospital occupancy,17
Australia,11/06/2020,Daily hospital occupancy per million,0.649
Australia,12/06/2020,Daily ICU occupancy,2
Australia,12/06/2020,Daily ICU occupancy per million,0.076
Australia,12/06/2020,Daily hospital occupancy,16
Australia,12/06/2020,Daily hospital occupancy per million,0.611
Australia,13/06/2020,Daily ICU occupancy,3
Australia,13/06/2020,Daily ICU occupancy per million,0.115
Australia,13/06/2020,Daily hospital occupancy,16
Australia,13/06/2020,Daily hospital occupancy per million,0.611
Australia,14/06/2020,Daily ICU occupancy,4
Australia,14/06/2020,Daily ICU occupancy per million,0.153
Australia,14/06/2020,Daily hospital occupancy,17
Australia,14/06/2020,Daily hospital occupancy per million,0.649
Australia,15/06/2020,Daily ICU occupancy,3
Australia,15/06/2020,Daily ICU occupancy per million,0.115
Australia,15/06/2020,Daily hospital occupancy,17
Australia,15/06/2020,Daily hospital occupancy per million,0.649
Australia,16/06/2020,Daily ICU occupancy,3
Australia,16/06/2020,Daily ICU occupancy per million,0.115
Australia,16/06/2020,Daily hospital occupancy,16
Australia,16/06/2020,Daily hospital occupancy per million,0.611
Australia,17/06/2020,Daily ICU occupancy,2
Australia,17/06/2020,Daily ICU occupancy per million,0.076
Australia,17/06/2020,Daily hospital occupancy,14
Australia,17/06/2020,Daily hospital occupancy per million,0.535
Australia,18/06/2020,Daily ICU occupancy,2
Australia,18/06/2020,Daily ICU occupancy per million,0.076
