Date,NSW,,VIC,,QLD,,WA,,SA,,TAS,,ACT,,NT,
5-Nov-22,809,0,231,0,105,0,142,0,53,0,3,0,37,0,15,0
6-Nov-22,809,0,231,0,105,0,142,0,53,0,3,0,37,0,15,0
7-Nov-22,809,0,231,0,105,0,142,0,53,0,3,0,37,0,15,0
8-Nov-22,809,0,231,0,105,0,142,0,53,0,3,0,37,0,15,0
9-Nov-22,809,0,231,0,105,0,142,0,53,0,3,0,37,0,15,0
10-Nov-22,809,0,231,0,105,0,142,0,53,0,3,0,37,0,15,0
11-Nov-22,974,165,274,43,202,97,176,34,83,30,21,18,52,15,14,-1
12-Nov-22,974,0,274,0,202,0,176,0,83,0,21,0,52,0,14,0
13-Nov-22,974,0,274,0,202,0,176,0,83,0,21,0,52,0,14,0
14-Nov-22,974,0,274,0,202,0,176,0,83,0,21,0,52,0,14,0
15-Nov-22,974,0,274,0,202,0,176,0,83,0,21,0,52,0,14,0
16-Nov-22,974,0,274,0,202,0,176,0,83,0,21,0,52,0,14,0
17-Nov-22,974,0,274,0,202,0,176,0,83,0,21,0,52,0,14,0
18-Nov-22,"1,148",174,352,78,245,43,179,3,118,35,26,5,49,-3,12,-2
19-Nov-22,"1,148",0,352,0,245,0,179,0,118,0,26,0,49,0,12,0
20-Nov-22,"1,148",0,352,0,245,0,179,0,118,0,26,0,49,0,12,0
21-Nov-22,"1,148",0,352,0,245,0,179,0,118,0,26,0,49,0,12,0
22-Nov-22,"1,148",0,352,0,245,0,179,0,118,0,26,0,49,0,12,0
23-Nov-22,"1,148",0,352,0,245,0,179,0,118,0,26,0,49,0,12,0
24-Nov-22,"1,148",0,352,0,245,0,179,0,118,0,26,0,49,0,12,0
25-Nov-22,"1,320",172,430,78,312,67,195,16,140,22,67,41,34,-15,15,3
26-Nov-22,"1,320",0,430,0,312,0,195,0,140,0,67,0,34,0,15,0
27-Nov-22,"1,320",0,430,0,312,0,195,0,140,0,67,0,34,0,15,0
28-Nov-22,"1,320",0,430,0,312,0,195,0,140,0,67,0,34,0,15,0
29-Nov-22,"1,320",0,430,0,312,0,195,0,140,0,67,0,34,0,15,0
30-Nov-22,"1,320",0,430,0,312,0,195,0,140,0,67,0,34,0,15,0
1-Dec-22,"1,320",0,430,0,312,0,195,0,140,0,67,0,34,0,15,0
2-Dec-22,"1,481",161,550,120,320,8,185,-10,128,-12,72,5,33,-1,25,10
3-Dec-22,"1,481",0,550,0,320,0,185,0,128,0,72,0,33,0,25,0
4-Dec-22,"1,481",0,550,0,320,0,185,0,128,0,72,0,33,0,25,0
5-Dec-22,"1,481",0,550,0,320,0,185,0,128,0,72,0,33,0,25,0
6-Dec-22,"1,481",0,550,0,320,0,185,0,128,0,72,0,33,0,25,0
7-Dec-22,"1,481",0,550,0,320,0,185,0,128,0,72,0,33,0,25,0
8-Dec-22,"1,481",0,550,0,320,0,185,0,128,0,72,0,33,0,25,0
9-Dec-22,"1,526",45,682,132,320,0,216,31,164,36,77,5,58,25,33,8
10-Dec-22,"1,526",0,682,0,320,0,216,0,164,0,77,0,58,0,33,0
11-Dec-22,"1,526",0,682,0,320,0,216,0,164,0,77,0,58,0,33,0
12-Dec-22,"1,526",0,682,0,320,0,216,0,164,0,77,0,58,0,33,0
13-Dec-22,"1,526",0,682,0,320,0,216,0,164,0,77,0,58,0,33,0
14-Dec-22,"1,526",0,682,0,320,0,216,0,164,0,77,0,58,0,33,0
15-Dec-22,"1,526",0,682,0,320,0,216,0,164,0,77,0,58,0,33,0
16-Dec-22,"1,606",80,675,-7,515,195,242,26,187,23,88,11,81,23,31,-2
17-Dec-22,"1,606",0,675,0,515,0,242,0,187,0,88,0,81,0,31,0
18-Dec-22,"1,606",0,675,0,515,0,242,0,187,0,88,0,81,0,31,0
19-Dec-22,"1,606",0,675,0,515,0,242,0,187,0,88,0,81,0,31,0
20-Dec-22,"1,606",0,675,0,515,0,242,0,187,0,88,0,81,0,31,0
21-Dec-22,"1,606",0,675,0,515,0,242,0,187,0,88,0,81,0,31,0
22-Dec-22,"1,606",0,675,0,515,0,242,0,187,0,88,0,81,0,31,0
23-Dec-22,"1,618",12,671,-4,517,2,244,2,193,6,116,28,69,-12,31,0
24-Dec-22,"1,618",0,671,0,517,0,244,0,193,0,116,0,69,0,31,0
25-Dec-22,"1,618",0,671,0,517,0,244,0,193,0,116,0,69,0,31,0
26-Dec-22,"1,618",0,671,0,517,0,244,0,193,0,116,0,69,0,31,0
27-Dec-22,"1,618",0,671,0,517,0,244,0,193,0,116,0,69,0,31,0
28-Dec-22,"1,618",0,671,0,517,0,244,0,193,0,116,0,69,0,31,0
29-Dec-22,"1,618",0,671,0,517,0,244,0,193,0,116,0,69,0,31,0
30-Dec-22,"1,712",94,715,44,517,0,241,-3,255,62,113,-3,65,-4,47,16
31-Dec-22,"1,712",0,715,0,517,0,241,0,255,0,113,0,65,0,47,0
1-Jan-23,"1,712",0,715,0,517,0,241,0,255,0,113,0,65,0,47,0
2-Jan-23,"1,712",0,715,0,517,0,241,0,255,0,113,0,65,0,47,0
3-Jan-23,"1,712",0,715,0,517,0,241,0,255,0,113,0,65,0,47,0
4-Jan-23,"1,712",0,715,0,517,0,241,0,255,0,113,0,65,0,47,0
5-Jan-23,"1,712",0,715,0,517,0,241,0,255,0,113,0,65,0,47,0
6-Jan-23,"1,662",-50,689,-26,540,23,252,11,185,-70,77,-36,73,8,15,-32
7-Jan-23,"1,662",0,689,0,540,0,252,0,185,0,77,0,73,0,15,0
8-Jan-23,"1,662",0,689,0,540,0,252,0,185,0,77,0,73,0,15,0
9-Jan-23,"1,662",0,689,0,540,0,252,0,185,0,77,0,73,0,15,0
10-Jan-23,"1,662",0,689,0,540,0,252,0,185,0,77,0,73,0,15,0
11-Jan-23,"1,662",0,689,0,540,0,252,0,185,0,77,0,73,0,15,0
12-Jan-23,"1,662",0,689,0,540,0,252,0,185,0,77,0,73,0,15,0
13-Jan-23,"1,458",-204,473,-216,437,-103,228,-24,128,-57,37,-40,59,-14,23,8
14-Jan-23,"1,458",0,473,0,437,0,228,0,128,0,37,0,59,0,23,0
15-Jan-23,"1,458",0,473,0,437,0,228,0,128,0,37,0,59,0,23,0
16-Jan-23,"1,458",0,473,0,437,0,228,0,128,0,37,0,59,0,23,0
17-Jan-23,"1,458",0,473,0,437,0,228,0,128,0,37,0,59,0,23,0
18-Jan-23,"1,458",0,473,0,437,0,228,0,128,0,37,0,59,0,23,0
19-Jan-23,"1,458",0,473,0,437,0,228,0,128,0,37,0,59,0,23,0
20-Jan-23,"1,236",-222,341,-132,305,-132,216,-12,102,-26,44,7,32,-27,24,1
21-Jan-23,"1,236",0,341,0,305,0,216,0,102,0,44,0,32,0,24,0
22-Jan-23,"1,236",0,341,0,305,0,216,0,102,0,44,0,32,0,24,0
23-Jan-23,"1,236",0,341,0,305,0,216,0,102,0,44,0,32,0,24,0
24-Jan-23,"1,236",0,341,0,305,0,216,0,102,0,44,0,32,0,24,0
25-Jan-23,"1,236",0,341,0,305,0,216,0,102,0,44,0,32,0,24,0
26-Jan-23,"1,236",0,341,0,305,0,216,0,102,0,44,0,32,0,24,0
27-Jan-23,"1,162",-74,226,-115,243,-62,171,-45,74,-28,36,-8,22,-10,20,-4
